year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1957,4,59,FYM,ley_arable,Lu,LC3,1.388,1.320,*,*
1957,4,60,none,ley_arable,Lu,LC3,1.388,1.310,*,*
1957,4,61,none,alternating,Lu/Ar,LN8,1.508,1.060,*,*
1957,4,62,FYM,alternating,Lu/Ar,LN8,1.508,1.220,*,*
1957,4,63,FYM,arable,Ar,AF,1.508,1.120,*,*
1957,4,64,none,arable,Ar,AF,1.508,1.160,*,*
1958,2,17,none,arable,Ah,AB,1.508,0.780,*,*
1958,2,18,FYM,arable,Ah,AB,1.508,0.860,*,*
1958,2,19,none,arable,Ar,AF,1.508,0.820,*,*
1958,2,20,FYM,arable,Ar,AF,1.508,1.050,*,*
1958,2,21,FYM,alternating,Ah/L,LC8,1.508,0.920,*,*
1958,2,22,none,alternating,Ah/L,LC8,1.508,0.860,*,*
1958,2,23,none,alternating,L/Ah,LC8,1.508,0.890,*,*
1958,2,24,FYM,alternating,L/Ah,LC8,1.508,1.070,*,*
1958,2,25,FYM,alternating,Lu/Ar,LN8,1.508,0.970,*,*
1958,2,26,none,alternating,Lu/Ar,LN8,1.508,0.940,*,*
1958,2,27,none,alternating,Ar/Lu,LN8,1.508,0.930,*,*
1958,2,28,FYM,alternating,Ar/Lu,LN8,1.508,1.090,*,*
1958,2,29,none,ley_arable,Lu,LC3,1.388,0.820,*,*
1958,2,30,FYM,ley_arable,Lu,LC3,1.388,0.920,*,*
1958,2,31,none,ley_arable,L,LN3,1.388,1.050,*,*
1958,2,32,FYM,ley_arable,L,LN3,1.388,1.220,*,*
1959,1,1,FYM,arable,Ah,AB,1.508,0.800,*,*
1959,1,2,none,arable,Ah,AB,1.508,0.870,*,*
1959,1,3,none,ley_arable,Lu,LC3,1.388,0.840,*,*
1959,1,4,FYM,ley_arable,Lu,LC3,1.388,1.200,*,*
1959,1,5,FYM,arable,Ar,AF,1.508,0.820,*,*
1959,1,6,none,arable,Ar,AF,1.508,0.690,*,*
1959,1,7,none,alternating,L/Ah,LC8,1.508,0.870,*,*
1959,1,8,FYM,alternating,L/Ah,LC8,1.508,1.090,*,*
1959,1,9,none,alternating,Ar/Lu,LN8,1.508,0.710,*,*
1959,1,10,FYM,alternating,Ar/Lu,LN8,1.508,0.860,*,*
1959,1,11,FYM,alternating,Lu/Ar,LN8,1.508,1.050,*,*
1959,1,12,none,alternating,Lu/Ar,LN8,1.508,0.990,*,*
