year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1977,5,66,3,66.300,FYM,FA:N0,N0,0,0,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.872,*
1977,5,66,4,66.400,FYM,FA:N3,N189,189,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.715,*
1977,5,67,1,67.100,FYM,FA:N2,N126,126,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.561,*
1977,5,67,2,67.200,FYM,FA:N0,N0,0,0,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.054,*
1977,5,67,3,67.300,FYM,FA:N3,N189,189,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.489,*
1977,5,67,4,67.400,FYM,FA:N1,N63,63,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.180,*
1977,5,68,1,68.100,none,FA:N3,N189,189,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.743,*
1977,5,68,2,68.200,none,FA:N0,N0,0,0,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.223,*
1977,5,68,3,68.300,none,FA:N2,N126,126,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.206,*
1977,5,68,4,68.400,none,FA:N1,N63,63,1,Ah_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.113,*
1977,5,69,1,69.100,none,FA:N0,N0,0,0,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.415,*
1977,5,69,2,69.200,none,FA:N2,N126,126,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.400,*
