year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1972.000,1.000,09/10,*,arable,A,*,1972-09-01 00:00:00,0-23,0.996,*,*,2.170,*,*,*,*,*,*,*,*
1972.000,1.000,11/12,*,ley_arable,Lc,*,1972-09-01 00:00:00,0-23,*,*,*,2.310,*,*,*,*,*,*,*,*
1972.000,2.000,13/14,1,reseeded grass,Rpc,c,1972-09-01 00:00:00,0-23,*,*,*,2.470,*,*,*,*,*,*,*,"6,13"
1972.000,2.000,13/14,2,reseeded grass,Rpn,n,1972-09-01 00:00:00,0-23,*,*,*,2.470,*,*,*,*,*,*,*,"6,13"
1972.000,2.000,15/16,*,ley_arable,Lc,*,1972-09-01 00:00:00,0-23,*,*,*,2.350,*,*,*,*,*,*,*,*
1972.000,2.000,17/18,*,ley_arable,Ln,*,1972-09-01 00:00:00,0-23,*,*,*,2.270,*,*,*,*,*,*,*,*
1972.000,2.000,19/20,*,arable,A,*,1972-09-01 00:00:00,0-23,*,*,*,2.100,*,*,*,*,*,*,*,*
1972.000,2.000,21/22,*,ley_arable,Lu,*,1972-09-01 00:00:00,0-23,*,*,*,2.010,*,*,*,*,*,*,*,*
1972.000,2.000,23/24,1,permanent grass,Gc,c,1972-09-01 00:00:00,0-23,0.944,*,*,3.620,*,*,*,*,*,*,*,*
1972.000,2.000,23/24,2,permanent grass,Gn,n,1972-09-01 00:00:00,0-23,0.944,*,*,3.250,*,*,*,*,*,*,*,*
1972.000,3.000,25/26,*,ley_arable,Lc,*,1972-09-01 00:00:00,0-23,*,*,*,2.330,*,*,*,*,*,*,*,*
1972.000,3.000,27/28,*,arable,A,*,1972-09-01 00:00:00,0-23,*,*,*,2.010,*,*,*,*,*,*,*,*
1972.000,3.000,29/30,*,ley_arable,Ln,*,1972-09-01 00:00:00,0-23,*,*,*,2.180,*,*,*,*,*,*,*,*
1972.000,3.000,31/32,1,reseeded grass,Rpc,c,1972-09-01 00:00:00,0-23,*,*,*,2.350,*,*,*,*,*,*,*,"6,13"
1972.000,3.000,31/32,2,reseeded grass,Rpn,n,1972-09-01 00:00:00,0-23,*,*,*,2.350,*,*,*,*,*,*,*,"6,13"
