site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1931,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1931-06-25,1931-06-27,1931-06-30,1931-07-01,0.039,2.114,*,1931-11-10,1931-11-13,1931-11-13,1931-11-13,0.039,0.884,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1932,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1932-06-23,1932-06-24,1932-06-28,1932-07-04,0.039,2.760,*,1932-09-12,1932-09-14,1932-09-22,1932-09-28,0.039,1.044,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1933,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1933-06-20,1933-06-22,1933-06-27,1933-06-29,0.039,1.558,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1934,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1934-06-26,1934-06-28,1934-07-03,1934-07-05,0.039,1.776,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1935,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1935-06-24,1935-06-26,1935-07-01,1935-07-03,0.039,2.023,*,1935-09-23,1935-09-26,1935-10-02,1935-10-07,0.039,0.134,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1936,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1936-06-24,1936-06-26,1936-07-06,1936-07-07,0.039,1.488,*,1936-10-13,1936-10-16,1936-11-11,1936-11-16,0.039,0.801,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1937,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1937-06-10,1937-06-12,1937-06-19,1937-06-22,0.039,2.212,*,1937-10-15,1937-10-18,1937-11-12,1937-11-13,0.039,0.632,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1938,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1938-06-23,1938-06-24,1938-06-30,1938-07-04,0.039,0.739,*,1938-10-31,1938-11-02,1938-11-07,1938-11-08,0.039,0.146,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1939,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1939-06-29,1939-07-01,1939-07-05,1939-07-11,0.039,1.963,*,1939-09-26,1939-09-28,1939-10-03,1939-10-13,0.039,1.182,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1940,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1940-06-18,1940-06-20,1940-06-21,1940-06-25,0.039,1.646,*,*,*,*,*,*,*,"1, 7"
