harvest_year,crop,plot,previous_fertilizer_code,current_year_fertilizer_code,n_fertilizer_amount,n_fertilizer_type,chalk_amount,sowing_date,harvest_date,variety,plot_area,grain_yield,straw_yield,note_id
1956,spring barley,6,N*,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,1.230,1.560,*
1956,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,2.770,2.770,*
1956,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,2.650,2.420,*
1956,spring barley,9,P,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,2.810,2.810,*
1956,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,3.000,3.220,*
1957,*,1,Nil,*,*,*,*,*,*,*,*,*,*,8.000
1957,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1957-03-21,1957-08-21,Plumage Archer,0.012,1.090,0.920,9.000
1957,*,3,FYM (P),*,*,*,*,*,*,*,*,*,*,8.000
1957,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1957-03-21,1957-08-21,Plumage Archer,0.012,2.510,1.180,9.000
1957,*,5,N,*,*,*,*,*,*,*,*,*,*,8.000
1957,spring barley,6,N*,N,63.000,ammonium sulphate,*,1957-03-21,1957-08-21,Plumage Archer,0.012,2.200,0.850,9.000
1957,*,7,NPKNaMg,*,*,*,*,*,*,*,*,*,*,8.000
1957,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1957-03-21,1957-08-21,Plumage Archer,0.012,2.210,1.280,9.000
1957,*,9,P,*,*,*,*,*,*,*,*,*,*,8.000
1957,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1957-03-21,1957-08-21,Plumage Archer,0.012,3.210,1.790,9.000
1958,*,1,Nil,*,*,*,*,*,*,*,*,*,*,8.000
1958,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1958-04-12,1958-09-07,Plumage Archer,0.056,1.300,1.540,10.000
1958,*,3,FYM (P),*,*,*,*,*,*,*,*,*,*,8.000
1958,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1958-04-12,1958-09-07,Plumage Archer,0.056,3.400,3.020,10.000
1958,*,5,N,*,*,*,*,*,*,*,*,*,*,8.000
1958,spring barley,6,N*,N,63.000,ammonium sulphate,*,1958-04-12,1958-09-07,Plumage Archer,0.056,1.440,1.610,10.000
1958,*,7,NPKNaMg,*,*,*,*,*,*,*,*,*,*,8.000
1958,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1958-04-12,1958-09-07,Plumage Archer,0.056,2.810,2.740,10.000
1958,*,9,P,*,*,*,*,*,*,*,*,*,*,8.000
1958,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1958-04-12,1958-09-07,Plumage Archer,0.056,2.960,3.290,10.000
1959,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.068,3.300,2.010,*
1959,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.056,2.650,1.690,*
1959,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.068,4.020,2.570,*
1959,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.056,3.580,2.220,*
1959,spring barley,5,N,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,*,*,*,11.000
1959,spring barley,6,N*,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.056,2.380,1.390,*
1959,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.068,3.750,2.500,*
1959,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.056,3.180,1.870,*
1959,spring barley,9,P,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,*,*,*,11.000
1959,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1959-03-17,1959-08-18,Plumage Archer,0.056,2.950,1.870,*
1960,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.380,1.560,*
1960,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,5.000,1960-03-17,1960-09-06,Plumage Archer,0.068,2.130,1.340,7.000
1960,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,3.090,2.160,*
1960,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,3.110,1.880,*
1960,spring barley,5,N,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.210,1.420,*
1960,spring barley,6,N*,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.030,1.260,*
1960,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.550,1.760,*
1960,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.470,1.680,*
1960,spring barley,9,P,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.560,1.620,*
1960,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1960-03-17,1960-09-06,Plumage Archer,0.068,2.710,1.730,*
1961,spring barley,1,Nil,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.200,1.380,*
1961,spring barley,2,Nil (FYM),N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,1.980,1.260,*
1961,spring barley,3,FYM (P),N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,3.000,1.840,*
1961,spring barley,4,FYM (N*P),N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,3.200,1.930,*
