year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
1956,1,15,none,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Herta,*,*
1957,1,15,none,alternating arable and ley-arable,Ah/L,1,1st year ley treatment,grazed ley,L1,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1958,1,15,none,alternating arable and ley-arable,Ah/L,2,2nd year ley treatment,grazed ley,L2,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1959,1,15,none,alternating arable and ley-arable,Ah/L,3,3rd year ley treatment,grazed ley,L3,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1960,1,15,none,alternating arable and ley-arable,Ah/L,4,1st test crop,sugar beet,SBe,Klein E,*,*
1961,1,15,none,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Herta,*,*
1962,1,15,none,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Majestic,*,*
1963,1,15,none,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,winter rye,R,King II,*,*
1964,1,15,none,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,carrots,C,Autumn King,*,*
1965,1,15,none,alternating arable and ley-arable,Ah/L,4,1st test crop,sugar beet,SBe,Klein E,*,*
1966,1,15,none,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Maris Badger,*,*
1967,1,15,none,alternating arable and ley-arable,Ah/L,1,1st year ley treatment,sainfoin,S1,Common Sainfoin,3.000,*
1968,1,15,none,alternating arable and ley-arable,Ah/L,2,2nd year ley treatment,sainfoin,S2,Common Sainfoin,3.000,*
1969,1,15,none,alternating arable and ley-arable,Ah/L,3,3rd year ley treatment,sainfoin,S3,Common Sainfoin,3.000,*
1970,1,15,none,alternating arable and ley-arable,Ah/L,4,1st test crop,spring barley,B,Maris Badger,*,*
1971,1,15,none,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Julia,*,*
1972,1,15,none,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1973,1,15,none,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,spring barley,B,Julia,*,*
1974,1,15,none,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1975,1,15,none,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Maris Piper,*,*
1976,1,15,none,alternating arable and ley-arable,Ah/L,5,2nd test crop,winter wheat,W,Cappelle,*,*
1977,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,S.48 timothy; S.215 meadow fescue; Huia white clover; ,*,12
1978,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1979,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1980,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1981,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1982,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1983,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1984,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1985,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Avalon,*,*
1986,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,spring barley,B,Klaxon,*,*
1987,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,Climax timothy; meadow fescue; Huia white clover,6.000,*
1988,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,Climax timothy; meadow fescue; Huia white clover,6.000,*
1989,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,Climax timothy; meadow fescue; Huia white clover,6.000,*
1990,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,Climax timothy; meadow fescue; Huia white clover,6.000,*
1991,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,Climax timothy; meadow fescue; Huia white clover,6.000,*
1992,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,Climax timothy; meadow fescue; Huia white clover,6.000,*
1993,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,Climax timothy; meadow fescue; Huia white clover,6.000,*
1994,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,Climax timothy; meadow fescue; Huia white clover,6.000,*
1995,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Mercia,*,*
1996,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,winter rye,R,Amando,*,*
1997,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
1998,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
1999,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2000,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2001,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2002,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2003,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2004,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2005,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Hereward,*,*
2006,1,15,none,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,winter rye,R,Matador,*,*
2007,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Hacada,*,*
2008,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,2,2nd treatment crop,winter oats,O,Gerald,*,*
2009,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2010,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Glasgow,*,*
2011,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,5,2nd test crop,winter rye,R,Agronom,*,*
2012,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Humbolt,*,*
2013,1,15,none,arable after 8 year grass/clover leys,LLc/ABe,2,2nd treatment crop,spring oats,O*,Circle,*,5
2014,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2015,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Solstice,*,*
2016,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,5,2nd test crop,winter rye,R,Phoenix,*,*
2017,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Mephisto,*,*
2018,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,2,2nd treatment crop,winter oats,O,Mascani,*,*
2019,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Tundra,*,*
2020,1,15,none,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Crusoe,*,*
1938,1,16,FYM,alternating arable and ley-arable,Ah/L,0,Initialising phase,spring barley,B,Plumage Archer,*,24
1939,1,16,FYM,alternating arable and ley-arable,Ah/L,0,Initialising phase,hay,H,*,4.000,"8, 24"
1940,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Majestic,*,*
1941,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1942,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Majestic,*,*
1943,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1944,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,kale,K,Thousand Head,*,*
1945,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Majestic,*,*
1946,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1947,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1948,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1949,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1950,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Majestic,*,*
1951,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1952,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Majestic,*,*
1953,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,winter rye,R,King II,*,*
1954,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1955,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Majestic,*,*
1956,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Herta,*,*
1957,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st year ley treatment,grazed ley,L1,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1958,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd year ley treatment,grazed ley,L2,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1959,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd year ley treatment,grazed ley,L3,S.24 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,1.000,*
1960,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,sugar beet,SBe,Klein E,*,*
1961,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Herta,*,*
1962,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Majestic,*,*
1963,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,winter rye,R,King II,*,*
1964,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,carrots,C,Autumn King,*,*
1965,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,sugar beet,SBe,Klein E,*,*
1966,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Maris Badger,*,*
1967,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st year ley treatment,sainfoin,S1,Common Sainfoin,3.000,*
1968,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd year ley treatment,sainfoin,S2,Common Sainfoin,3.000,*
1969,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd year ley treatment,sainfoin,S3,Common Sainfoin,3.000,*
1970,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,spring barley,B,Maris Badger,*,*
1971,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,spring barley,B,Julia,*,*
1972,1,16,FYM,alternating arable and ley-arable,Ah/L,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1973,1,16,FYM,alternating arable and ley-arable,Ah/L,2,2nd treatment crop,spring barley,B,Julia,*,*
1974,1,16,FYM,alternating arable and ley-arable,Ah/L,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1975,1,16,FYM,alternating arable and ley-arable,Ah/L,4,1st test crop,potatoes,P,Maris Piper,*,*
1976,1,16,FYM,alternating arable and ley-arable,Ah/L,5,2nd test crop,winter wheat,W,Cappelle,*,*
1977,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,S.48 timothy; S.215 meadow fescue; Huia white clover; ,*,12
1978,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1979,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1980,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1981,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1982,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1983,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1984,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,S.48 timothy; S.215 meadow fescue; Huia white clover; ,6.000,*
1985,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Avalon,*,*
1986,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,spring barley,B,Klaxon,*,*
1987,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,Climax timothy; meadow fescue; Huia white clover,6.000,*
1988,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,Climax timothy; meadow fescue; Huia white clover,6.000,*
1989,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,Climax timothy; meadow fescue; Huia white clover,6.000,*
1990,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,Climax timothy; meadow fescue; Huia white clover,6.000,*
1991,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,Climax timothy; meadow fescue; Huia white clover,6.000,*
1992,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,Climax timothy; meadow fescue; Huia white clover,6.000,*
1993,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,Climax timothy; meadow fescue; Huia white clover,6.000,*
1994,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,Climax timothy; meadow fescue; Huia white clover,6.000,*
1995,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Mercia,*,*
1996,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,winter rye,R,Amando,*,*
1997,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,1,1st year ley treatment,clover grass ley,Lc1,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
1998,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,2,2nd year ley treatment,clover grass ley,Lc2,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
1999,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,3,3rd year ley treatment,clover grass ley,Lc3,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2000,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,4,4th year ley treatment,clover grass ley,Lc4,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2001,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,5,5th year ley treatment,clover grass ley,Lc5,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2002,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,6,6th year ley treatment,clover grass ley,Lc6,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2003,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,7,7th year ley treatment,clover grass ley,Lc7,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2004,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,8,8th year ley treatment,clover grass ley,Lc8,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,6.000,*
2005,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,9,1st test crop,winter wheat,W,Hereward,*,*
2006,1,16,FYM,8-yr grass/clover ley-arable,LLc8_1st_cycle,10,2nd test crop,winter rye,R,Matador,*,*
2007,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Hacada,*,*
2008,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,2,2nd treatment crop,winter oats,O,Gerald,*,*
2009,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2010,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Glasgow,*,*
2011,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,5,2nd test crop,winter rye,R,Agronom,*,*
2012,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Humbolt,*,*
2013,1,16,FYM,arable after 8 year grass/clover leys,LLc/ABe,2,2nd treatment crop,spring oats,O*,Circle,*,5
2014,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2015,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Solstice,*,*
2016,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,5,2nd test crop,winter rye,R,Phoenix,*,*
2017,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,1,1st treatment crop,winter rye,R,Mephisto,*,*
2018,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,2,2nd treatment crop,winter oats,O,Mascani,*,*
2019,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,3,3rd treatment crop,winter beans,BE,Tundra,*,*
2020,1,16,FYM,arable after 8-yr grass/clover leys,LLc/ABe,4,1st test crop,winter wheat,W,Crusoe,*,*
1938,2,17,none,arable,Ah,0,Initialising phase,spring barley,B,Plumage Archer,*,24
1939,2,17,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1940,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1941,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1942,2,17,none,arable,Ah,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1943,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,Italian ryegrass; broad red clover,4.000,*
1944,2,17,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1945,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1946,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1947,2,17,none,arable,Ah,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1948,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,Italian ryegrass; red clover,4.000,13
1949,2,17,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1950,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1951,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1952,2,17,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1953,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1954,2,17,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1955,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1956,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1957,2,17,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1958,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1959,2,17,none,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1960,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Herta,*,*
1961,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1962,2,17,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1963,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,2
1964,2,17,none,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1965,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Maris Badger,*,*
1966,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1967,2,17,none,arable,Ah,2,2nd treatment crop,spring wheat,W*,Kloka,*,15
1968,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1969,2,17,none,arable,Ah,4,1st test crop,spring barley,B,Maris Badger,*,*
1970,2,17,none,arable,Ah,5,2nd test crop,spring barley,B,Maris Badger,*,*
1971,2,17,none,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1972,2,17,none,arable,Ah,2,2nd treatment crop,spring barley,B,Julia,*,*
1973,2,17,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1974,2,17,none,arable,Ah,4,1st test crop,potatoes,P,Maris Piper,*,*
1975,2,17,none,arable,Ah,5,2nd test crop,winter wheat,W,Cappelle,*,*
1976,2,17,none,arable,AB,1,1st treatment crop,spring barley,B,Julia,*,*
1977,2,17,none,arable,AB,2,2nd treatment crop,spring barley,B,Julia,*,*
1978,2,17,none,arable,AB,3,3rd treatment crop,spring oats,O*,Manod,*,3
1979,2,17,none,arable,AB,4,1st test crop,winter wheat,W,Flanders,*,*
1980,2,17,none,arable,AB,5,2nd test crop,spring barley,B,Georgie,*,*
1981,2,17,none,arable,AB,1,1st treatment crop,spring barley,B,Triumph,*,*
1982,2,17,none,arable,AB,2,2nd treatment crop,spring barley,B,Triumph,*,*
1983,2,17,none,arable,AB,3,3rd treatment crop,potatoes,P,Cara,*,14
1984,2,17,none,arable,AB,4,1st test crop,winter wheat,W,Avalon,*,*
1985,2,17,none,arable,AB,5,2nd test crop,spring barley,B,Triumph,*,*
1986,2,17,none,arable,AB,1,1st treatment crop,spring barley,B,Klaxon,*,*
1987,2,17,none,arable,AB,2,2nd treatment crop,spring barley,B,Klaxon,*,*
1988,2,17,none,arable,AB,3,3rd treatment crop,winter beans,BE,Bourdon,*,*
1989,2,17,none,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1990,2,17,none,arable,AB,5,2nd test crop,spring barley,B,Klaxon,*,*
1991,2,17,none,arable,AB,1,1st treatment crop,spring barley,B,Klaxon,*,*
1992,2,17,none,arable,AB,2,2nd treatment crop,spring barley,B,Alexis,*,*
1993,2,17,none,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
1994,2,17,none,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1995,2,17,none,arable,AB,5,2nd test crop,winter rye,R,Amando,*,*
1996,2,17,none,arable,AB,1,1st treatment crop,spring barley,B,Cooper,*,*
1997,2,17,none,arable,AB,2,2nd treatment crop,spring barley,B,Cooper,*,*
1998,2,17,none,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
1999,2,17,none,arable,AB,4,1st test crop,winter wheat,W,Hereward,*,*
2000,2,17,none,arable,AB,5,2nd test crop,winter rye,R,Esprit,*,*
2001,2,17,none,arable,ABe,1,1st treatment crop,winter rye,R,Esprit:Nikita,*,*
2002,2,17,none,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2003,2,17,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Clipper,*,*
2004,2,17,none,arable,ABe,4,1st test crop,winter wheat,W,Hereward,*,*
2005,2,17,none,arable,ABe,5,2nd test crop,winter rye,R,Protector,*,*
2006,2,17,none,arable,ABe,1,1st treatment crop,winter rye,R,Matador,*,*
2007,2,17,none,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2008,2,17,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2009,2,17,none,arable,ABe,4,1st test crop,winter wheat,W,Glasgow,*,*
2010,2,17,none,arable,ABe,5,2nd test crop,winter rye,R,Protector,*,*
2011,2,17,none,arable,ABe,1,1st treatment crop,winter rye,R,Agronom,*,*
2012,2,17,none,arable,ABe,2,2nd treatment crop,winter oats,O,Mascani,*,*
2013,2,17,none,arable,ABe,3,3rd treatment crop,spring beans,BE*,Fuego,*,6
2014,2,17,none,arable,ABe,4,1st test crop,winter wheat,W,Solstice,*,*
