year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
2017,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,5,2nd test crop,winter rye,R,Mephisto,*,*
2018,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,1,1st year ley treatment,grass ley with N,Ln1,Promesse timothy; Laura meadow fescue,10.000,*
2019,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,2,2nd year ley treatment,grass ley with N,Ln2,Promesse timothy; Laura meadow fescue,10.000,*
2020,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,3,3rd year ley treatment,grass ley with N,Ln3,Promesse timothy; Laura meadow fescue,10.000,*
1938,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1939,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1940,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1941,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,potatoes,P,Majestic,*,*
1942,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1943,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1944,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1945,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd treatment crop,sugar beet,SBe,Klein E,*,*
1946,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,potatoes,P,Majestic,*,*
1947,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1948,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st year ley treatment,grazed ley,L1,S.23 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering Montgomery red clover; S.100 white clover,1.000,*
1949,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd year ley treatment,grazed ley,L2,S.23 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering Montgomery red clover; S.100 white clover,1.000,*
1950,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd year ley treatment,grazed ley,L3,S.23 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering Montgomery red clover; S.100 white clover,1.000,*
1951,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,potatoes,P,Majestic,*,*
1952,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1953,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1954,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd treatment crop,winter rye,R,King II,*,*
1955,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1956,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,sugar beet,SBe,Klein E,*,*
1957,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Herta,*,*
1958,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st year ley treatment,lucerne,Lu1,Du Puits,3.000,*
1959,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd year ley treatment,lucerne,Lu2,Du Puits,3.000,*
1960,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd year ley treatment,lucerne,Lu3,Du Puits,3.000,*
1961,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,sugar beet,SBe,Klein E,*,*
1962,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Proctor,*,*
