harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1888,8,a,i,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.400,1.330,0.140,9.500,1100.000,784.000,309.000,208.000,2
1888,8,a,ii,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.400,1.330,0.140,9.500,1100.000,784.000,309.000,208.000,2
1888,8,b,i,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,5.500,1.350,0.142,9.507,1200.000,784.000,309.000,208.000,2
1888,8,b,ii,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,5.500,1.350,0.142,9.507,1200.000,784.000,309.000,208.000,2
1888,9,a,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,6.200,1.380,0.145,9.517,1520.000,824.000,296.000,180.000,2
1888,9,b,*,N4*PKNaMg,L0,nil,0.000,0,nil,0,N4*,92,P2,34,K3,90,Na,16,Mg,11,6.200,1.460,0.140,10.429,1480.000,824.000,296.000,180.000,2
1888,10,a,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,1.330,0.136,9.779,1300.000,832.000,304.000,202.000,2
1888,10,b,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.000,1.390,0.140,9.929,1340.000,824.000,300.000,188.000,2
1888,11,a,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,1.740,0.160,10.875,1600.000,820.000,325.000,240.000,2
1888,11,b,*,FYM2,L0,FYM2,20.000,122,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.570,0.160,9.812,1480.000,808.000,314.000,206.000,2
1898,1,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.400,1.190,0.135,8.815,1260.000,*,*,*,2
1898,2,a,i,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,4.900,1.160,0.127,9.134,860.000,*,*,*,2
1898,2,a,ii,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,4.900,1.160,0.127,9.134,860.000,*,*,*,2
1898,2,b,i,N2,L3,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,4.900,1.160,0.127,9.134,860.000,*,*,*,2
1898,2,b,ii,N2,L3,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,4.900,1.160,0.127,9.134,860.000,*,*,*,2
1898,3,a,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,5.900,1.150,0.120,9.583,1200.000,*,*,*,2
1898,3,a,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,5.900,1.150,0.120,9.583,1200.000,*,*,*,2
1898,3,b,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,5.900,1.150,0.120,9.583,1200.000,*,*,*,2
1898,3,b,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,5.900,1.150,0.120,9.583,1200.000,*,*,*,2
1898,4,a,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.700,1.090,0.111,9.820,940.000,*,*,*,2
1898,4,b,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.700,1.090,0.111,9.820,940.000,*,*,*,2
1898,5,a,i,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.000,1.030,0.112,9.196,660.000,*,*,*,2
1898,5,a,ii,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.000,1.030,0.112,9.196,660.000,*,*,*,2
1898,5,b,*,N2PKNaMg,L3,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.000,1.030,0.112,9.196,660.000,*,*,*,2
1898,6,*,*,N2*PKNaMg,L0,nil,0.000,0,nil,0,N2*,46,P2,34,K3,90,Na,16,Mg,11,*,*,*,*,*,*,*,*,2
1898,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,2
1898,8,a,i,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.200,1.160,0.123,9.431,880.000,*,*,*,2
1898,8,a,ii,PKNaMg,L3,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,5.200,1.160,0.123,9.431,880.000,*,*,*,2
1898,8,b,i,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,5.200,1.190,0.123,9.675,900.000,*,*,*,2
1898,8,b,ii,N4PKNaMg,L3,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,5.200,1.190,0.123,9.675,900.000,*,*,*,2
1898,9,a,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,*,*,*,*,*,*,*,*,2
1898,9,b,*,N4*PKNaMg,L0,nil,0.000,0,nil,0,N4*,92,P2,34,K3,90,Na,16,Mg,11,*,*,*,*,*,*,*,*,2
1898,10,a,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,2
1898,10,b,*,R4,L0,nil,0.000,0,R4,92,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,2
1898,11,a,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,2
1898,11,b,*,FYM2,L0,FYM2,20.000,122,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,2
1916,1,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,1.070,0.106,10.094,*,*,*,*,3
1916,2,a,i,N1,L0,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,2,a,ii,N1,L1,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,2,b,i,N1,L3,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,2,b,ii,N1,L3,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,3,a,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,3,a,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,3,b,i,N1*,L0,nil,0.000,0,nil,0,N1*,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
