harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1927,6,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.070,0.104,10.300,1040.000,960.000,314.000,226.000,4
1927,7,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.600,1.430,0.113,12.700,840.000,848.000,334.000,270.000,4
1927,8,a,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.500,1.570,0.112,14.000,200.000,1140.000,364.000,288.000,4
1927,8,a,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.900,1.120,0.110,11.200,400.000,1140.000,364.000,288.000,4
1927,8,b,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,1.450,0.111,13.000,300.000,1140.000,364.000,288.000,4
1927,8,b,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.000,1.280,0.105,12.200,520.000,1140.000,364.000,288.000,4
1927,9,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.110,0.102,10.900,1020.000,952.000,310.000,236.000,4
1927,9,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.200,1.200,0.106,11.300,1060.000,952.000,310.000,236.000,4
1927,10,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,0.990,0.095,10.400,880.000,772.000,294.000,244.000,4
1927,10,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.400,1.060,0.106,10.000,700.000,752.000,311.000,282.000,4
1927,11,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.000,0.990,0.101,9.900,840.000,716.000,309.000,246.000,4
1927,11,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.400,1.520,0.145,10.500,1260.000,932.000,314.000,254.000,4
1932,1,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.600,0.970,0.106,9.100,920.000,640.000,269.000,224.000,5
1932,2,a,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.700,0.910,0.095,9.600,220.000,628.000,248.000,216.000,5
1932,2,a,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.900,0.980,0.102,9.600,420.000,628.000,248.000,216.000,5
1932,2,b,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.000,0.850,0.093,9.200,600.000,628.000,248.000,216.000,5
1932,2,b,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.300,0.900,0.098,9.200,920.000,628.000,248.000,216.000,5
1932,3,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.980,0.100,9.800,1040.000,604.000,255.000,192.000,5
1932,3,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.600,0.900,0.094,9.600,1020.000,604.000,255.000,192.000,5
1932,4,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,1.180,0.112,10.500,1160.000,940.000,275.000,212.000,5
1932,5,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.100,0.970,0.101,9.600,480.000,900.000,298.000,204.000,5
1932,5,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.600,0.960,0.100,9.600,800.000,900.000,298.000,204.000,5
1932,6,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.940,0.096,9.800,960.000,852.000,284.000,220.000,5
1932,7,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.500,1.220,0.107,11.400,860.000,796.000,320.000,266.000,5
1932,8,a,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,1.260,0.102,12.400,200.000,1036.000,347.000,270.000,5
1932,8,a,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.000,1.020,0.098,10.400,400.000,1036.000,347.000,270.000,5
1932,8,b,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,1.180,0.102,11.600,320.000,1036.000,347.000,270.000,5
1932,8,b,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.100,1.110,0.100,11.100,500.000,1036.000,347.000,270.000,5
1932,9,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,1.040,0.102,10.200,860.000,902.000,306.000,244.000,5
1932,9,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.700,1.120,0.105,10.700,920.000,902.000,306.000,244.000,5
1932,10,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.600,0.950,0.096,9.900,860.000,752.000,285.000,210.000,5
1932,10,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.400,0.930,0.101,9.200,760.000,724.000,299.000,248.000,5
1932,11,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,1.100,0.106,10.400,920.000,716.000,305.000,230.000,5
1932,11,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,1.220,0.124,9.800,1040.000,812.000,332.000,232.000,5
