harvest_year,plot,fertilizer_code,fym_factor_level,fym_date,n_factor_level,spring1_n_kg,spring1_n_date,spring2_n_kg,spring2_n_date,spring3_n_kg,spring3_n_date,total_fertilizer_n_amount,p_factor_level,p_date,k_factor_level,k_date,mg_factor_level,mg_date,sow_date,harvest_date,cultivar,area_ha,grain_yield,straw_yield,grain_%_n,straw_%_n,grain_kgN,straw_kgN,note
2012,18,N1+2+1PKMg,nil,*,N1+N2+N1,48.000,2012-03-15,96.000,2012-04-17,48.000,2012-05-22,192,P,2011-09-27,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,6.620,4.000,2.200,0.763,123.794,25.942,*
2013,18,N1+2+1PKMg,nil,*,N1+N2+N1,48.000,2013-03-12,96.000,2013-04-24,48.000,2013-05-21,192,P,2012-09-28,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,6.580,2.840,2.079,0.473,116.278,11.418,*
2014,18,N1+2+1PKMg,nil,*,N1+N2+N1,48.000,2014-03-10,96.000,2014-04-03,48.000,2014-05-20,192,P,2013-09-30,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,6.020,3.860,2.188,0.500,111.960,16.405,*
2015,18,N1+2+1PKMg,nil,*,N1+N2+N1,48.000,2015-04-09,96.000,2015-04-17,48.000,2015-05-08,192,P,2014-10-02,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,6.790,3.670,2.389,0.505,137.881,15.753,3
2001,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2001-03-26,48.000,2001-05-04,48.000,2001-05-31,144,nil,*,K,2000-10-04,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,4.460,2.840,2.190,0.397,83.023,9.584,*
2002,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2002-03-26,48.000,2002-04-24,48.000,2002-05-23,144,nil,*,K,2001-09-12,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,2.550,2.030,1.860,0.700,40.316,12.078,*
2003,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2003-03-12,48.000,2003-04-15,48.000,2003-05-07,144,nil,*,K,2002-10-01,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,5.500,2.160,2.230,0.410,104.252,7.528,*
2004,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2004-03-17,48.000,2004-05-07,48.000,2004-05-25,144,nil,*,K,2003-09-23,Mg,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,4.030,2.720,2.220,0.540,76.046,12.485,*
2005,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2005-03-07,48.000,2005-04-14,48.000,2005-05-10,144,nil,*,K,2004-10-13,Mg,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,5.470,2.550,1.790,0.360,83.226,7.803,*
2006,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2006-03-13,48.000,2006-04-20,48.000,2006-05-17,144,nil,*,K,2005-09-28,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,6.320,3.050,1.980,0.410,106.366,10.629,*
2007,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2007-03-14,48.000,2007-04-24,48.000,2007-05-22,144,nil,*,K,2006-10-09,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,3.910,1.150,2.240,0.610,74.446,5.963,*
2008,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2008-03-18,48.000,2008-04-17,48.000,2008-05-15,144,nil,*,K,2007-10-01,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,6.500,2.740,2.017,0.435,111.439,10.131,*
2009,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2009-03-09,48.000,2009-04-21,48.000,2009-05-13,144,nil,*,K,2008-09-29,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,3.270,2.900,2.479,0.502,68.904,12.374,*
2010,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2010-03-19,48.000,2010-04-20,48.000,2010-05-17,144,nil,*,K,2009-09-14,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,4.570,2.490,2.234,0.413,86.780,8.741,*
2011,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2011-03-15,48.000,2011-04-13,48.000,2011-05-12,144,nil,*,K,2010-10-07,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,3.960,1.930,2.627,0.526,88.425,8.629,*
2012,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2012-03-15,48.000,2012-04-17,48.000,2012-05-22,144,nil,*,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,5.660,3.230,2.157,0.551,103.773,15.128,*
2013,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2013-03-12,48.000,2013-04-24,48.000,2013-05-21,144,nil,*,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,4.940,2.130,2.192,0.462,92.042,8.365,*
2014,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2014-03-10,48.000,2014-04-03,48.000,2014-05-20,144,nil,*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,5.330,3.620,2.058,0.413,93.238,12.708,*
2015,19,N1+1+1KMg,nil,*,N1+N1+N1,48.000,2015-04-09,48.000,2015-04-17,48.000,2015-05-08,144,nil,*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,5.910,2.700,2.410,0.493,121.066,11.314,3
2001,20,N4KMg,nil,*,N4,192.000,2001-05-04,*,*,*,*,192,nil,*,K,2000-10-04,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,1.300,0.970,2.719,0.657,30.045,5.417,*
2002,20,N4KMg,nil,*,N4,192.000,2002-04-24,*,*,*,*,192,nil,*,K,2001-09-12,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,0.140,0.090,2.340,0.860,2.785,0.658,*
2003,20,N4KMg,nil,*,N4,192.000,2003-04-15,*,*,*,*,192,nil,*,K,2002-10-01,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,2.870,1.140,2.220,0.430,54.157,4.167,*
2004,20,N4KMg,nil,*,N4,192.000,2004-05-07,*,*,*,*,192,nil,*,K,2003-09-23,Mg,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,1.860,0.480,2.320,0.470,36.679,1.918,*
2005,20,N4KMg,nil,*,N4,192.000,2005-04-14,*,*,*,*,192,nil,*,K,2004-10-13,Mg,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,1.630,0.380,2.250,0.500,31.174,1.615,*
2006,20,N4KMg,nil,*,N4,192.000,2006-04-20,*,*,*,*,192,nil,*,K,2005-09-28,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,1.170,0.460,2.340,0.500,23.271,1.955,*
2007,20,N4KMg,nil,*,N4,192.000,2007-04-24,*,*,*,*,192,nil,*,K,2006-10-09,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,0.410,0.020,2.510,0.670,8.747,0.114,*
2008,20,N4KMg,nil,*,N4,192.000,2008-04-17,*,*,*,*,192,nil,*,K,2007-10-01,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,0.820,0.370,2.406,0.609,16.770,1.915,*
2009,20,N4KMg,nil,*,N4,192.000,2009-04-21,*,*,*,*,192,nil,*,K,2008-09-29,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,0.680,0.360,2.252,0.582,13.017,1.781,*
2010,20,N4KMg,nil,*,N4,192.000,2010-04-20,*,*,*,*,192,nil,*,K,2009-09-14,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,0.660,0.220,2.422,0.572,13.587,1.070,*
2011,20,N4KMg,nil,*,N4,192.000,2011-04-13,*,*,*,*,192,nil,*,K,2010-10-07,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,0.780,0.250,2.415,0.611,16.011,1.298,*
2012,20,N4KMg,nil,*,N4,192.000,2012-04-17,*,*,*,*,192,nil,*,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,0.140,*,2.431,0.896,2.893,*,*
2013,20,N4KMg,nil,*,N4,192.000,2013-04-24,*,*,*,*,192,nil,*,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,1.070,0.130,2.413,0.614,21.946,0.678,*
2014,20,N4KMg,nil,*,N4,192.000,2014-04-03,*,*,*,*,192,nil,*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,1.020,0.970,2.276,0.613,19.733,5.054,*
2015,20,N4KMg,nil,*,N4,192.000,2015-04-17,*,*,*,*,192,nil,*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,1.240,0.540,2.779,0.602,29.291,2.763,3
