site,plot,block,sub-plot,harvest_year,liming_factor_level,lime_date,annual_lime ,cumulative_lime ,p_factor_level,p_rate_annual,p_rate_cumulative,k_factor_level,k_rate_annual,mg_factor_level,mg_rate_annual,mn_factor_level,mn_rate_annual,s_factor_level,s_rate_annual,n_basal_rate,k_basal_rate,mg_basal_rate,crop,variety,sow_date,harvest_date,yield,%_dry_matter,note
Rothamsted,20,2,-,1964,0,*,0.000,0.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.996,85.000,0
Rothamsted,21,2,-,1964,M,*,0.000,10.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.586,85.000,0
Rothamsted,22,2,-,1964,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.912,85.000,0
Rothamsted,23,2,-,1964,0,*,0.000,0.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.297,85.000,0
Rothamsted,24,2,-,1964,L,*,0.000,5.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.532,85.000,0
Rothamsted,25,2,-,1964,L,*,0.000,5.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.473,85.000,0
Rothamsted,26,2,-,1964,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.297,85.000,0
Rothamsted,27,2,-,1964,H,*,0.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.624,85.000,0
Rothamsted,28,2,-,1964,H,*,0.000,20.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.586,85.000,0
Rothamsted,29,2,-,1964,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.582,85.000,0
Rothamsted,30,2,-,1964,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.134,85.000,0
Rothamsted,31,2,-,1964,H,*,0.000,20.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.519,85.000,0
Rothamsted,32,2,-,1964,H,*,0.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.444,85.000,0
Rothamsted,1,1,-,1965,0,*,0.000,0.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,2.348,85.000,0
Rothamsted,2,1,-,1965,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,3.653,85.000,0
Rothamsted,3,1,-,1965,H,*,0.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.185,85.000,0
Rothamsted,4,1,-,1965,L,*,0.000,5.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.285,85.000,0
Rothamsted,5,1,-,1965,0,*,0.000,0.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,1.356,85.000,0
Rothamsted,6,1,-,1965,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.298,85.000,0
Rothamsted,7,1,-,1965,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.272,85.000,0
Rothamsted,8,1,-,1965,H,*,0.000,20.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.084,85.000,0
Rothamsted,9,1,-,1965,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.172,85.000,0
Rothamsted,10,1,-,1965,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,2.486,85.000,0
Rothamsted,11,1,-,1965,L,*,0.000,5.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.360,85.000,0
Rothamsted,12,1,-,1965,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,4.934,85.000,0
Rothamsted,13,1,-,1965,M,*,0.000,10.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.247,85.000,0
Rothamsted,14,1,-,1965,H,*,0.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.072,85.000,0
Rothamsted,15,1,-,1965,H,*,0.000,20.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.323,85.000,0
Rothamsted,16,1,-,1965,M,*,0.000,10.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.172,85.000,0
Rothamsted,17,2,-,1965,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,4.833,85.000,0
Rothamsted,18,2,-,1965,M,*,0.000,10.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.222,85.000,0
Rothamsted,19,2,-,1965,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.335,85.000,0
Rothamsted,20,2,-,1965,0,*,0.000,0.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,4.795,85.000,0
Rothamsted,21,2,-,1965,M,*,0.000,10.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.637,85.000,0
Rothamsted,22,2,-,1965,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,4.959,85.000,0
Rothamsted,23,2,-,1965,0,*,0.000,0.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.360,85.000,0
Rothamsted,24,2,-,1965,L,*,0.000,5.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.310,85.000,0
Rothamsted,25,2,-,1965,L,*,0.000,5.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.310,85.000,0
Rothamsted,26,2,-,1965,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.247,85.000,0
Rothamsted,27,2,-,1965,H,*,0.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,4.946,85.000,0
Rothamsted,28,2,-,1965,H,*,0.000,20.000,P,27.500,110.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.097,85.000,0
Rothamsted,29,2,-,1965,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,0.766,85.000,0
Rothamsted,30,2,-,1965,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.549,85.000,0
Rothamsted,31,2,-,1965,H,*,0.000,20.000,P,27.500,110.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.498,85.000,0
Rothamsted,32,2,-,1965,H,*,0.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1965-03-17,1965-09-05,5.260,85.000,0
Rothamsted,1,1,-,1966,0,*,0.000,0.000,P,27.500,137.500,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,2.486,85.000,0
Rothamsted,2,1,-,1966,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,2.749,85.000,0
Rothamsted,3,1,-,1966,H,*,0.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,4.256,85.000,0
Rothamsted,4,1,-,1966,L,*,0.000,5.000,P,27.500,137.500,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,4.155,85.000,0
Rothamsted,5,1,-,1966,0,*,0.000,0.000,P,27.500,137.500,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,1.506,85.000,0
Rothamsted,6,1,-,1966,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,4.180,85.000,0
Rothamsted,7,1,-,1966,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,4.369,85.000,0
Rothamsted,8,1,-,1966,H,*,0.000,20.000,P,27.500,137.500,0,0.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,5.147,85.000,0
Rothamsted,9,1,-,1966,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,63,0,0,spring barley,maris badger,1966-03-14,1966-08-26,4.431,85.000,0
